source,headline,pubtime,pubDate,date,headline_length,Price,Open,High,Low,Close,Volume,is_trading_day
Bloomberg ,Mamdani Takes Reins of New York After Historic Mayoral Win,30m ago,2026-01-01 00:00:00+00:00,2026-01-01,58,189.8249969482422,192.92990112304688,188.25999450683594,189.34500122070312,110169517,True
Business Insider,BlackRock's head of talent has 4 pieces of advice for college students who want to work at the firm, 2h ago,2026-01-01 00:00:00+00:00,2026-01-01,99,189.8249969482422,192.92990112304688,188.25999450683594,189.34500122070312,110169517,True
FreightWaves,"GDP grew 4.3% in Q3, and it was ‘healthier’ growth", 2h ago,2026-01-01 00:00:00+00:00,2026-01-01,50,189.8249969482422,192.92990112304688,188.25999450683594,189.34500122070312,110169517,True
USA TODAY,Bought or sold a home in 2025? Here's what to know at tax time, 3h ago,2026-01-01 00:00:00+00:00,2026-01-01,62,189.8249969482422,192.92990112304688,188.25999450683594,189.34500122070312,110169517,True
USA TODAY,Tax refunds could be up. When will the IRS accept returns in 2026?, 3h ago,2026-01-01 00:00:00+00:00,2026-01-01,66,189.8249969482422,192.92990112304688,188.25999450683594,189.34500122070312,110169517,True

